ra,dec,mag,pmra,pmdec,ci,spect,proper
0.0,0.0,-26.7,0.0,0.0,0.656,G2V,Sol
0.000335,38.859279,6.61,5.24,-2.91,-0.019,B9,
0.002488,46.939997,7.34,11.09,-2.02,0.081,A2,
0.003228,-0.36045,7.25,61.75,-11.67,1.2,K0,
0.003554,38.30405,6.53,-2.5,-15.07,0.955,G5,
0.0053,-44.290561,6.28,58.36,-108.64,0.763,G3IV,
0.006638,26.918108,6.43,42.2,-53.47,0.514,F7.5IV-V,
0.007485,-16.697009,7.46,169.72,-32.54,0.475,F3V,
0.008593,59.559679,6.18,-80.6,-24.07,1.032,G9III-IV,
0.009015,-40.690474,7.31,4.08,-11.28,1.164,K0/K1III,
0.009533,-53.097713,6.49,52.98,-20.52,0.616,G1IV,
0.010549,-66.683173,7.4,162.88,-28.82,0.551,G2IV/V,
0.011577,62.175898,7.05,-46.95,-43.9,0.52,G0,
0.012119,45.253334,6.36,17.38,0.22,-0.047,B9p SiEu,
0.014694,66.848011,6.9,-20.78,18.19,1.446,K2,
0.014882,-50.446459,7.42,29.01,2.56,1.524,K4III,
0.017941,-48.809876,5.71,-17.92,-6.75,0.911,G8III,
0.021069,60.355282,7.04,9.57,-6.49,2.835,C5p,
0.021365,-41.487437,7.05,17.13,-33.61,1.55,M1III,
0.022013,49.981558,6.22,13.29,-11.19,0.97,G7II-III,
0.022255,-50.337373,5.53,7.34,10.59,1.615,M2III,
0.023106,6.79147,7.23,-3.08,-8.7,0.388,F0,
0.024839,-62.92313,7.46,-2.22,11.18,0.16,A2IV,
0.026012,44.675401,6.82,-10.61,-18.37,1.071,K0,
0.026429,28.423691,6.83,-18.88,-34.1,1.197,K2III,
0.026616,-77.065724,4.78,-56.52,-176.95,1.254,K2III,
0.026675,72.236615,7.21,-44.73,3.74,1.169,K0,
0.026949,61.222801,5.58,-2.8,-1.34,0.407,F0III,
0.027597,73.611846,6.5,75.54,-12.36,0.182,Am...,
0.02823,-40.148702,6.62,33.7,-14.84,0.545,F5IV,
0.028579,24.253113,6.6,18.5,-28.01,1.153,K2III-IV,
0.028847,42.367144,6.25,5.11,-1.77,-0.042,B9IIIp Mn,
0.030251,66.306032,7.33,4.74,12.31,0.73,K0,
0.030402,-3.027504,5.13,18.9,-10.25,-0.128,B7III-IV,
0.032021,-37.229953,7.04,-19.88,-44.75,1.06,K1III,
0.032672,-6.014072,4.37,46.62,-41.32,1.631,M3III,
0.033384,-37.901878,7.09,121.63,-35.97,0.999,K0III,
0.03406,-2.766171,6.93,39.33,-3.17,0.292,A3,
0.036139,27.082256,5.8,778.59,-918.72,0.69,G3V,
0.037966,-13.407437,6.9,261.21,32.13,0.534,G0V,
0.038253,60.703168,6.77,-8.91,-11.05,1.832,M0,
0.038867,-29.720414,5.04,9.66,14.0,-0.15,B4V,
0.040046,8.956824,6.33,-0.87,-4.11,0.182,A6V,
0.041584,8.485463,5.7,-93.55,-47.5,0.315,F0V,
0.042334,16.256565,7.24,-11.07,5.7,0.074,A0,
0.043357,66.098966,5.87,3.32,1.14,1.073,G8III,
0.044012,66.100399,7.2,8.09,9.09,0.085,A2V,
0.044959,82.973202,7.29,-10.9,-3.07,0.118,A0,
0.046437,2.130155,7.17,62.25,-91.23,0.617,G0,
0.049301,-20.045882,6.25,100.38,78.95,0.526,F6/F7V,
0.052181,-24.145145,6.46,59.32,-3.14,1.176,K1III,
0.052317,42.747908,6.73,32.79,-3.84,0.051,A2,
0.053698,17.552268,6.59,58.45,-52.87,1.122,K0,
0.056667,73.174497,7.36,-22.46,2.59,0.146,A2,
0.057143,63.64052,6.24,-3.27,-1.83,0.332,B3Ia,
0.057203,20.66553,7.49,57.24,-159.75,0.636,G0,
0.057297,-36.251193,6.96,72.54,5.06,0.353,F2V,
0.058475,12.356821,7.45,-15.05,-3.46,0.353,A5,
0.061626,48.436907,6.8,-25.44,-8.19,0.06,A2,
0.06233,-17.335988,4.55,28.57,-7.28,-0.047,B9IVn,
0.06234,42.023522,7.45,76.5,10.12,0.244,A3,
0.064342,66.712183,6.31,7.86,-8.15,1.629,M4,
0.065582,14.378864,7.09,79.34,-21.72,0.303,F0,
0.066736,12.145797,7.26,17.89,-15.14,0.355,F0,
0.069514,49.870181,7.38,-8.01,-10.94,1.003,K0,
0.069972,-30.134913,7.09,21.9,2.05,-0.085,B8V,
0.070462,62.287664,5.9,-0.99,-0.37,0.274,A1III,
0.072165,-16.529036,5.78,53.77,-60.27,1.084,K0III,
0.07231,-29.268822,6.38,29.15,3.44,0.006,A1V,
0.075033,-10.509523,4.99,-6.49,-11.88,1.619,K3Ibvar,
0.075148,-72.897321,7.33,11.31,-41.13,0.444,F2V,
0.07683,42.09253,6.11,-11.94,-12.73,0.159,B9III,
0.077295,-51.583329,7.13,9.42,14.58,1.26,K1III,
0.07772,-70.40426,7.46,83.78,-17.85,1.072,K0/K1III,
0.0778,34.265124,7.02,-15.8,-30.38,1.1,K0,
0.078131,-71.436891,5.59,30.0,-13.62,-0.1,B8III,
0.078129,14.965233,7.37,7.51,-42.24,0.422,F5IV,
0.078304,67.166445,5.68,95.58,23.8,1.051,K1III,
0.081573,34.659797,6.09,769.11,100.49,0.632,G2V,
0.081937,58.532166,6.61,9.06,-3.04,0.025,B3V,
0.08222,26.648764,6.25,112.32,-14.52,1.368,K4IIIb,
0.082644,45.673793,7.47,17.18,-65.33,0.55,F8V,
0.083662,27.674784,6.47,83.36,-6.57,0.946,G8II,
0.084395,-0.503035,6.32,44.86,-53.47,1.099,G9III:,
0.085039,61.31397,5.8,14.29,2.24,-0.067,B8MNp...,
0.085785,67.840003,7.41,7.13,-7.08,1.288,K0,
0.086046,45.229029,6.71,-27.19,-20.38,0.068,A1Vn,
0.086186,-32.468672,7.1,-62.32,-65.92,1.128,K1III,
0.086946,35.571012,6.88,2.96,-37.47,0.174,A2,
0.088857,68.884433,7.08,37.01,9.92,-0.006,B9,
0.088876,-38.857152,6.93,73.31,32.46,0.94,G8III/IV,
0.088928,-5.707618,4.61,-8.29,88.19,1.029,K1III,
0.089347,-56.955649,7.42,33.77,-11.65,0.191,A1Vs,
0.089511,3.606092,6.91,-20.57,-6.31,1.12,G5,
0.090672,-14.422192,7.39,13.71,-41.06,0.99,K0III,
