time_s,thrust_n
0,0
0.018,0.679
0.031,8.821
0.048,25.558
0.07,30.308
0.099,33.249
0.145,34.832
0.231,36.641
0.409,41.843
0.647,45.236
0.884,47.498
0.947,47.724
0.995,51.569
1.032,51.343
1.049,49.081
1.059,44.558
1.077,35.963
1.1,26.689
1.167,9.273
1.2,0
