time_s,thrust_n
0,0
0.016,24.712
0.027,449.764
0.03,1329.52
0.039,1784.23
0.043,2041.24
0.08,2224.11
0.118,2357.56
0.198,2476.18
0.399,2678.82
0.495,2748.01
0.601,2787.55
0.701,2822.15
0.799,2822.15
1.001,2807.32
1.199,2757.9
1.399,2668.93
1.501,2565.14
1.6,2402.04
1.675,2233.99
1.752,2006.64
1.777,1818.83
1.805,1334.47
1.827,884.702
1.852,434.937
1.87,242.181
1.895,88.964
1.923,0
