time_s,thrust_n
0,0
0.012,1183.8
0.023,1614.27
0.05,1694.99
0.1,1716.51
0.15,1694.99
0.2,1603.51
0.25,1517.42
0.3,1490.51
0.4,1474.37
0.5,1485.13
0.6,1512.04
0.7,1533.56
0.8,1571.23
0.9,1608.89
1,1630.42
1.1,1657.32
1.2,1684.22
1.3,1694.99
1.4,1694.99
1.5,1700.37
1.6,1700.37
1.7,1705.75
1.8,1689.61
1.9,1662.7
2,1657.32
2.1,1608.89
2.2,1581.99
2.3,1555.08
2.4,1522.8
2.5,1490.51
2.6,1463.61
2.7,1431.32
2.8,1415.18
2.9,1388.28
3,1361.37
3.1,1372.13
3.2,1286.04
3.25,1226.85
3.3,973.945
3.4,478.901
3.45,220.617
3.5,80.714
3.6,0
