time_s,thrust_n
0,0
0.021,3.91694
0.034,138.475
0.053,216.791
0.08,231.308
0.22,233.462
0.299,228.854
0.489,221.639
0.653,214
0.819,178.58
0.945,147.99
1.132,115.306
1.286,55.1945
1.35,30.5
1.366,12.3644
1.444,4.64227
1.53,0
