time_s,thrust_n
0,0
0.016,577.998
0.041,870.377
0.086,851.787
0.303,931.219
0.417,944.74
0.515,910.939
0.998,936.289
1.272,976.851
1.501,992.061
1.747,1019.1
2,1029.24
2.205,1054.59
2.495,1047.83
2.77,1034.31
3.003,998.821
3.166,981.921
3.498,909.249
3.592,880.518
3.702,890.658
3.768,856.857
3.862,672.641
3.964,442.794
4.021,353.221
4.111,285.619
4.242,104.783
4.3,50.702
4.369,21.971
4.484,0
