time_s,thrust_n
0,0
0.02,97.5153
0.063,5878.54
0.116,6146.99
0.206,6321
0.349,6313.79
0.578,6286.77
0.921,6281.54
1.378,6265.53
1.834,6213.6
2.29,6137.53
2.746,6164.89
2.87,6079
3.202,4268.06
3.659,2843.96
3.999,1793.96
4.19,1242.27
4.38,513.758
4.487,77.8319
4.517,0
