time_s,thrust_n
0.012,0.27
0.047,10.64
0.054,11.73
0.086,14.45
0.098,14.91
0.122,15.27
0.138,16.27
0.15,17
0.18,17.27
0.195,17.45
0.212,17
0.218,16.18
0.235,15.82
0.337,13.55
0.352,6.73
0.389,3.09
0.4,1.18
0.408,0.55
0.415,0
