time_s,thrust_n
0,0
0.083,1333.47
0.13,1368.38
0.249,1361.39
0.308,1380.01
0.403,1359.07
0.675,1184.53
1.018,1072.83
1.456,996.029
1.977,958.794
2.995,914.578
3.99,856.399
4.985,781.929
5.494,730.732
5.991,679.534
7.258,542.231
7.862,463.107
8.015,456.125
8.998,330.458
9.993,207.118
10.514,137.303
11.496,34.908
11.994,0
