time_s,thrust_n
0,0
0.02,927.501
0.112,988.073
0.26,1033.5
0.53,1080.82
0.897,1124.36
1.509,1198.18
1.998,1239.82
2.355,1260.64
2.503,1264.43
2.773,1237.93
2.997,1222.79
3.502,1162.22
4.001,1063.79
4.501,906.68
4.741,834.751
4.878,742.001
4.96,664.394
5.062,448.608
5.164,223.357
5.26,79.5
5.352,30.286
5.5,0
