time_s,thrust_n
0,0
0.006,0.02
0.025,2.0373
0.064,16.9322
0.167,22.1472
0.419,26.955
0.673,25.8612
0.929,25.6314
1.086,26.2173
1.144,16.7647
1.172,6.11622
1.198,0.568172
1.223,0
