csv_path,metadata_path,format,manufacturer,manufacturer_abbrev,designation,common_name,motor_id,simfile_id,type,impulse_class,diameter_mm,length_mm,burn_time_s,avg_thrust_n,max_thrust_n,total_impulse_ns,sample_count,sampled_duration_s,sampled_avg_thrust_n,sampled_peak_thrust_n,sampled_total_impulse_ns,license,source,info_url,data_url
aerotech_c3_4t_rocksim_5f923f0a1bca5800041716ae.csv,aerotech_c3_4t_rocksim_5f923f0a1bca5800041716ae.json,RockSim,AeroTech,AeroTech,C3.4T,C3,5f4294d2000231000000040c,5f923f0a1bca5800041716ae,reload,C,18,72,2.86,3.14,9.08,8.96,24,2.86,3.132522552447553,9.08,8.9590145,PD,user,/simfiles/5f923f0a1bca5800041716ae/,/simfiles/5f923f0a1bca5800041716ae/download/data.rse
aerotech_d10w_rocksim_5f923f481bca5800041716b3.csv,aerotech_d10w_rocksim_5f923f481bca5800041716b3.json,RockSim,AeroTech,AeroTech,D10W,D10,5f4294d200023100000002e3,5f923f481bca5800041716b3,SU,D,18,70,1.4,13.39,25.13,18.75,24,1.385,13.47283393501805,25.0,18.659875,PD,user,/simfiles/5f923f481bca5800041716b3/,/simfiles/5f923f481bca5800041716b3/download/data.rse
aerotech_d22w_rasp_60159e84b94d0e00040a8406.csv,aerotech_d22w_rasp_60159e84b94d0e00040a8406.json,RASP,AeroTech,AeroTech,D22W,D22,60159ce4b94d0e00040a8402,60159e84b94d0e00040a8406,SU,D,24,86.7,0.89,21.66,27.58,19.33,13,1.008,19.0907000125036,27.6909606634316,19.24342561260363,PD,cert,/simfiles/60159e84b94d0e00040a8406/,/simfiles/60159e84b94d0e00040a8406/download/data.eng
aerotech_d22w_rocksim_6016b2f03f5c3700044cc279.csv,aerotech_d22w_rocksim_6016b2f03f5c3700044cc279.json,RockSim,AeroTech,AeroTech,D22W,D22,60159ce4b94d0e00040a8402,6016b2f03f5c3700044cc279,SU,D,24,86.7,0.89,21.66,27.58,19.33,14,1.01,19.05291522772277,27.691,19.24344438,PD,user,/simfiles/6016b2f03f5c3700044cc279/,/simfiles/6016b2f03f5c3700044cc279/download/data.rse
aerotech_d2_3t_rocksim_5f923f261bca5800041716b0.csv,aerotech_d2_3t_rocksim_5f923f261bca5800041716b0.json,RockSim,AeroTech,AeroTech,D2.3T,D2,5f4294d2000231000000040d,5f923f261bca5800041716b0,reload,D,18,72,8.14,2.12,10.14,17.21,27,8.14,2.1141031326781325,10.14,17.2087995,PD,user,/simfiles/5f923f261bca5800041716b0/,/simfiles/5f923f261bca5800041716b0/download/data.rse
aerotech_e24c_rasp_6394ed0b67012f00045fc15e.csv,aerotech_e24c_rasp_6394ed0b67012f00045fc15e.json,RASP,AeroTech,AeroTech,E24C,E24,63628c12a244550004a0cf01,6394ed0b67012f00045fc15e,SU,E,29,110,1.64,22.35,33,36.32,19,1.6680000000000001,22.462720323741006,34.636,37.4678175,PD,cert,/simfiles/6394ed0b67012f00045fc15e/,/simfiles/6394ed0b67012f00045fc15e/download/data.eng
aerotech_e26w_rasp_60159eecb94d0e00040a8433.csv,aerotech_e26w_rasp_60159eecb94d0e00040a8433.json,RASP,AeroTech,AeroTech,E26W,E26,60159d7db94d0e00040a8404,60159eecb94d0e00040a8433,SU,E,24,87.7,1.18,23.5,27.89,27.85,12,1.217,22.693984414633153,26.9550277597882,27.618579032608547,PD,cert,/simfiles/60159eecb94d0e00040a8433/,/simfiles/60159eecb94d0e00040a8433/download/data.eng
aerotech_e26w_rocksim_6016b3363f5c3700044cc27a.csv,aerotech_e26w_rocksim_6016b3363f5c3700044cc27a.json,RockSim,AeroTech,AeroTech,E26W,E26,60159d7db94d0e00040a8404,6016b3363f5c3700044cc27a,SU,E,24,87.7,1.18,23.5,27.89,27.85,13,1.223,22.582681255928044,26.955,27.618619176,PD,user,/simfiles/6016b3363f5c3700044cc27a/,/simfiles/6016b3363f5c3700044cc27a/download/data.rse
aerotech_e30t_rasp_62431a34ee302a00044520da.csv,aerotech_e30t_rasp_62431a34ee302a00044520da.json,RASP,AeroTech,AeroTech,E30T,E30,5f4294d20002310000000034,62431a34ee302a00044520da,SU,E,24,70,1.02,32.38,49.3,33.56,30,1.014,33.064347140039445,49.3,33.527248,PD,cert,/simfiles/62431a34ee302a00044520da/,/simfiles/62431a34ee302a00044520da/download/data.eng
aerotech_f115sn_12a_rasp_691a270b2d19df0002c3d0c9.csv,aerotech_f115sn_12a_rasp_691a270b2d19df0002c3d0c9.json,RASP,AeroTech,AeroTech,F115SN-12A,F115,6919efdd2d19df0002c39e51,691a270b2d19df0002c3d0c9,SU,F,29,123,0.69,114.16,146.7,79.15,33,0.717,110.38768898186892,147.455,79.14797300000001,PD,cert,/simfiles/691a270b2d19df0002c3d0c9/,/simfiles/691a270b2d19df0002c3d0c9/download/data.eng
aerotech_f23fj_rasp_654b1ae91b5ae70002c2dbb3.csv,aerotech_f23fj_rasp_654b1ae91b5ae70002c2dbb3.json,RASP,AeroTech,AeroTech,F23FJ,F23,654b01231b5ae70002c2beae,654b1ae91b5ae70002c2dbb3,SU,F,29,83,2.21,18.58,29.8,41.2,31,2.342,17.37891941929974,27.5128,40.70142928,PD,cert,/simfiles/654b1ae91b5ae70002c2dbb3/,/simfiles/654b1ae91b5ae70002c2dbb3/download/data.eng
aerotech_f27r_l_rocksim_5f923fa81bca58000417170b.csv,aerotech_f27r_l_rocksim_5f923fa81bca58000417170b.json,RockSim,AeroTech,AeroTech,F27R/L,F27,5f4294d200023100000001d4,5f923fa81bca58000417170b,SU,F,29,83,2.03,24.4,37.7,49.6,32,2.425,20.41903942474227,35.9684,49.516170605,PD,user,/simfiles/5f923fa81bca58000417170b/,/simfiles/5f923fa81bca58000417170b/download/data.rse
aerotech_f30fj_rocksim_5f923fc91bca58000417170e.csv,aerotech_f30fj_rocksim_5f923fc91bca58000417170e.json,RockSim,AeroTech,AeroTech,F30FJ,F30,5f4294d200023100000003b0,5f923fc91bca58000417170e,SU,F,24,95,1.55,30.4,40.6,47,22,1.6,29.451908749999998,38.241,47.123053999999996,PD,user,/simfiles/5f923fc91bca58000417170e/,/simfiles/5f923fc91bca58000417170e/download/data.rse
aerotech_f35w_rocksim_5f923fe01bca58000417170f.csv,aerotech_f35w_rocksim_5f923fe01bca58000417170f.json,RockSim,AeroTech,AeroTech,F35W,F35,5f4294d2000231000000022f,5f923fe01bca58000417170f,reload,F,24,95,1.63,34.9,55.2,57.1,33,1.6,36.00608156249999,58.363,57.6097305,PD,user,/simfiles/5f923fe01bca58000417170f/,/simfiles/5f923fe01bca58000417170f/download/data.rse
aerotech_f44w_rasp_5f4294d20002e900000007ef.csv,aerotech_f44w_rasp_5f4294d20002e900000007ef.json,RASP,AeroTech,AeroTech,F44W,F44,5f4294d200023100000003ff,5f4294d20002e900000007ef,SU,F,24,70,1,44,50,41.5,23,0.978,43.099768404907984,65.218,42.151573500000005,PD,mfr,/simfiles/5f4294d20002e900000007ef/,/simfiles/5f4294d20002e900000007ef/download/data.eng
aerotech_f44w_rocksim_5f9240051bca580004171711.csv,aerotech_f44w_rocksim_5f9240051bca580004171711.json,RockSim,AeroTech,AeroTech,F44W,F44,5f4294d200023100000003ff,5f9240051bca580004171711,SU,F,24,70,1,44,50,41.5,24,0.998,42.26285921843687,65.218,42.1783335,PD,user,/simfiles/5f9240051bca580004171711/,/simfiles/5f9240051bca580004171711/download/data.rse
aerotech_f51nt_rasp_5f4294d20002e90000000890.csv,aerotech_f51nt_rasp_5f4294d20002e90000000890.json,RASP,AeroTech,AeroTech,F51NT,F51,5f4294d2000231000000045d,5f4294d20002e90000000890,reload,F,24,95,0.99,55.89,76.53,55.11,23,1.046,50.40046606118547,71.343,52.7188875,PD,user,/simfiles/5f4294d20002e90000000890/,/simfiles/5f4294d20002e90000000890/download/data.eng
aerotech_f51nt_rocksim_5f9240261bca580004171712.csv,aerotech_f51nt_rocksim_5f9240261bca580004171712.json,RockSim,AeroTech,AeroTech,F51NT,F51,5f4294d2000231000000045d,5f9240261bca580004171712,reload,F,24,95,0.99,55.89,76.53,55.11,24,1.05,50.33946619047619,71.343,52.8564395,PD,user,/simfiles/5f9240261bca580004171712/,/simfiles/5f9240261bca580004171712/download/data.rse
aerotech_f52c_rasp_5f5e5a6a1e865c0004c95620.csv,aerotech_f52c_rasp_5f5e5a6a1e865c0004c95620.json,RASP,AeroTech,AeroTech,F52C,F52,5f5e57811e865c0004c955d8,5f5e5a6a1e865c0004c95620,SU,F,29,111.4,1.26,52.65,64.33,66.2,14,1.309,50.65556760886173,61.323,66.308138,PD,cert,/simfiles/5f5e5a6a1e865c0004c95620/,/simfiles/5f5e5a6a1e865c0004c95620/download/data.eng
aerotech_f52c_rocksim_5f9240401bca580004171714.csv,aerotech_f52c_rocksim_5f9240401bca580004171714.json,RockSim,AeroTech,AeroTech,F52C,F52,5f5e57811e865c0004c955d8,5f9240401bca580004171714,SU,F,29,111.4,1.26,52.65,64.33,66.2,15,1.329,49.89526561324304,61.323,66.310808,PD,user,/simfiles/5f9240401bca580004171714/,/simfiles/5f9240401bca580004171714/download/data.rse
aerotech_f62fj_rocksim_5f9240611bca580004171716.csv,aerotech_f62fj_rocksim_5f9240611bca580004171716.json,RockSim,AeroTech,AeroTech,F62FJ,F62,5f4294d20002310000000460,5f9240611bca580004171716,reload,F,24,95,0.84,56.91,73.1,47.57,19,0.78,60.19260192307692,72.196,46.9502295,PD,user,/simfiles/5f9240611bca580004171716/,/simfiles/5f9240611bca580004171716/download/data.rse
aerotech_f63r_rocksim_5f92407d1bca580004171718.csv,aerotech_f63r_rocksim_5f92407d1bca580004171718.json,RockSim,AeroTech,AeroTech,F63R,F63,5f4294d20002310000000461,5f92407d1bca580004171718,reload,F,24,95,0.85,58.06,69.94,49.5,17,0.8,61.927245625000005,72.931,49.541796500000004,PD,user,/simfiles/5f92407d1bca580004171718/,/simfiles/5f92407d1bca580004171718/download/data.rse
aerotech_f67c_rasp_639413fa1766e20004fd1199.csv,aerotech_f67c_rasp_639413fa1766e20004fd1199.json,RASP,AeroTech,AeroTech,F67C,F67,63628d72a244550004a0cf0a,639413fa1766e20004fd1199,SU,F,29,112,1.41,55.22,72.79,77.46,29,1.447,53.47386903939184,68.699,77.3766885,PD,cert,/simfiles/639413fa1766e20004fd1199/,/simfiles/639413fa1766e20004fd1199/download/data.eng
aerotech_f67w_rocksim_5f4294d20002e9000000088b.csv,aerotech_f67w_rocksim_5f4294d20002e9000000088b.json,RockSim,AeroTech,AeroTech,F67W,F67,5f4294d2000231000000045a,5f4294d20002e9000000088b,SU,F,29,83,0.88,69,86,61.1,34,0.92,67.47373804347826,86.146,62.075839,PD,mfr,/simfiles/5f4294d20002e9000000088b/,/simfiles/5f4294d20002e9000000088b/download/data.rse
aerotech_g125t_rasp_5f4294d20002e900000007e9.csv,aerotech_g125t_rasp_5f4294d20002e900000007e9.json,RASP,AeroTech,AeroTech,G125T,G125,5f4294d200023100000003f9,5f4294d20002e900000007e9,SU,G,29,124,0.95,125,160,128,15,0.9929999999999999,125.3238932527694,155.17,124.446626,PD,cert,/simfiles/5f4294d20002e900000007e9/,/simfiles/5f4294d20002e900000007e9/download/data.eng
aerotech_g125t_rocksim_5f92415b1bca580004171729.csv,aerotech_g125t_rocksim_5f92415b1bca580004171729.json,RockSim,AeroTech,AeroTech,G125T,G125,5f4294d200023100000003f9,5f92415b1bca580004171729,SU,G,29,124,0.95,125,160,128,16,1.001,124.68056143856144,155.17,124.80524199999999,PD,user,/simfiles/5f92415b1bca580004171729/,/simfiles/5f92415b1bca580004171729/download/data.rse
aerotech_g12st_rasp_6015a048b94d0e00040a8436.csv,aerotech_g12st_rasp_6015a048b94d0e00040a8436.json,RASP,AeroTech,AeroTech,G12ST,G12,5f4294d20002310000000464,6015a048b94d0e00040a8436,SU,G,29,156,12.7,11.31,30.88,143.97,25,12.596,11.578790933629723,31.2631,145.8464506,PD,cert,/simfiles/6015a048b94d0e00040a8436/,/simfiles/6015a048b94d0e00040a8436/download/data.eng
aerotech_g12st_rocksim_6016b4423f5c3700044cc27c.csv,aerotech_g12st_rocksim_6016b4423f5c3700044cc27c.json,RockSim,AeroTech,AeroTech,G12ST,G12,5f4294d20002310000000464,6016b4423f5c3700044cc27c,SU,G,29,156,12.7,11.31,30.88,143.97,26,12.601,11.574227509721448,31.2631,145.84684084999998,PD,user,/simfiles/6016b4423f5c3700044cc27c/,/simfiles/6016b4423f5c3700044cc27c/download/data.rse
aerotech_g25w_rasp_5f4294d20002e900000007ea.csv,aerotech_g25w_rasp_5f4294d20002e900000007ea.json,RASP,AeroTech,AeroTech,G25W,G25,5f4294d20002310000000052,5f4294d20002e900000007ea,reload,G,29,124,5.3,22.17,41.18,117.5,18,4.404,25.32315338328792,46.186,111.5231675,PD,cert,/simfiles/5f4294d20002e900000007ea/,/simfiles/5f4294d20002e900000007ea/download/data.eng
aerotech_g69n_rasp_5f4294d20002e90000000876.csv,aerotech_g69n_rasp_5f4294d20002e90000000876.json,RASP,AeroTech,AeroTech,G69N,G69,5f4294d200023100000001d5,5f4294d20002e90000000876,reload,G,38,106,1.88,72.3,87.3,136.7,28,1.999,68.18478642096046,86.4412,136.30138805549998,PD,cert,/simfiles/5f4294d20002e90000000876/,/simfiles/5f4294d20002e90000000876/download/data.eng
