time_s,thrust_n
0.141,679.073
0.425,801.562
0.709,848.474
0.994,913.345
1.278,981.614
1.562,1043.69
1.847,1088.114
2.131,1112.556
2.416,1121.541
2.7,1118.573
2.984,1100.665
3.269,1039.14
3.553,965.784
3.837,876.793
4.122,780.693
4.406,693.903
4.691,608.03
4.975,528.335
5.259,463.528
5.544,405.769
5.828,358.367
6.112,279.009
6.397,99.897
6.681,20.108
6.967,3.317
7.252,0
