time_s,thrust_n
0.046,0.953
0.168,5.259
0.235,10.023
0.291,15
0.418,9.87
0.505,7.546
0.582,6.631
0.679,6.136
0.786,5.716
1.26,5.678
1.357,5.488
1.423,4.992
1.469,4.116
1.618,1.22
1.701,0
