time_s,measured_fraction_steady_state,filtered_fraction_steady_state,measured_percent_steady_state,filtered_percent_steady_state
0.200,0.0200,0.0000,2.00,0.00
0.230,0.0100,-0.1500,1.00,-15.00
0.250,0.0500,0.1500,5.00,15.00
0.265,0.2000,0.5000,20.00,50.00
0.275,2.4000,2.0000,240.00,200.00
0.285,1.1000,1.3500,110.00,135.00
0.300,1.4500,1.1000,145.00,110.00
0.320,1.0500,1.0000,105.00,100.00
0.350,0.9000,0.9200,90.00,92.00
0.380,1.1000,1.0500,110.00,105.00
0.400,0.9500,0.9400,95.00,94.00
0.440,1.0200,1.0200,102.00,102.00
0.480,0.9800,0.9800,98.00,98.00
0.520,1.0200,1.0100,102.00,101.00
0.600,1.0000,1.0000,100.00,100.00
0.700,1.0000,1.0000,100.00,100.00
0.800,1.0000,1.0000,100.00,100.00
0.900,0.9900,0.9900,99.00,99.00
0.975,0.9800,0.9800,98.00,98.00
1.000,0.5000,0.6500,50.00,65.00
1.020,0.2200,0.2000,22.00,20.00
1.060,0.2000,0.1500,20.00,15.00
1.100,0.1200,0.0800,12.00,8.00
1.160,0.0800,0.0300,8.00,3.00
1.200,0.0600,0.0000,6.00,0.00
