csv_path,metadata_path,ntrs_id,title,source_figure,distribution,rights,method
ntrs_19730015083_te_m_521_5_axial_thrust_digitized.csv,ntrs_19730015083_te_m_521_5_axial_thrust_digitized.json,19730015083,"TE-M-521-5 apogee kick motor axial thrust curve, digitized from Fig. 7","Figure 7, Variation of Thrust, Chamber Pressure, and Test Cell Pressure during Firing",PUBLIC,GOV_PUBLIC_USE_PERMITTED,Manual curve digitization from a 250 dpi rendered PDF page using calibrated plot axes.
ntrs_19900003335_rsrm_3b_reconstructed_vacuum_thrust_digitized.csv,ntrs_19900003335_rsrm_3b_reconstructed_vacuum_thrust_digitized.json,19900003335,"RSRM-3B reconstructed vacuum thrust-time trace, digitized from Fig. 2.1","Figure 2.1, RSRM-3A and 3B Reconstructed Vacuum Thrust-Time Trace at Delivered Conditions",PUBLIC,GOV_PUBLIC_USE_PERMITTED,Manual curve digitization from a 250 dpi rendered PDF page using calibrated plot axes.
ntrs_20090026004_rs18_startup_normalized_thrust_digitized.csv,ntrs_20090026004_rs18_startup_normalized_thrust_digitized.json,20090026004,"RS-18 LOX/LCH4 startup and shutdown normalized thrust shape, digitized from Fig. 8","Figure 8, Example non-dimensionalized thrust output from RS-18 test",PUBLIC,GOV_PUBLIC_USE_PERMITTED,Manual curve digitization from a 250 dpi rendered PDF page using calibrated plot axes.
