time_s,thrust_lbf,thrust_n
0.000,0.000,0.000000
0.500,2950000.000,13122253.765018
1.000,3100000.000,13789487.007308
5.000,3180000.000,14145344.736528
10.000,3260000.000,14501202.465749
15.000,3280000.000,14590166.898054
20.000,3310000.000,14723613.546512
22.000,3310000.000,14723613.546512
25.000,3150000.000,14011898.088071
30.000,2950000.000,13122253.765018
35.000,2800000.000,12455020.522729
40.000,2650000.000,11787787.280440
45.000,2550000.000,11342965.118914
50.000,2400000.000,10675731.876625
55.000,2380000.000,10586767.444320
60.000,2450000.000,10898142.957388
65.000,2500000.000,11120554.038151
70.000,2560000.000,11387447.335067
75.000,2580000.000,11476411.767372
80.000,2580000.000,11476411.767372
85.000,2420000.000,10764696.308930
90.000,2200000.000,9786087.553573
95.000,2080000.000,9252300.959742
100.000,1980000.000,8807478.798216
105.000,1850000.000,8229209.988232
110.000,1700000.000,7561976.745943
112.000,1500000.000,6672332.422891
115.000,800000.000,3558577.292208
118.000,350000.000,1556877.565341
120.000,250000.000,1112055.403815
123.000,120000.000,533786.593831
125.000,60000.000,266893.296916
128.000,10000.000,44482.216153
130.000,0.000,0.000000
